scenario,observable_type,observable_value,notes
failed_signin_burst,ip_address,76.221.94.x,"Source IP associated with the failed sign-in burst and later correlated success; partially redacted for publish-safe sharing"
failed_signin_burst,user_alias,lab06-user-a,"Lab user included in the failed sign-in burst validation"
failed_signin_burst,user_alias,lab06-user-b,"Lab user included in the failed sign-in burst validation"
failed_signin_burst,user_alias,lab06-user-c,"Lab user included in the failed sign-in burst validation"
failed_signin_burst,pattern,multiple_failed_signins_same_ip,"Observed repeated failed sign-ins from one IP across multiple users in SigninLogs"
success_after_failure,ip_address,76.221.94.x,"Same source IP later associated with a successful sign-in after the failure burst; partially redacted for publish-safe sharing"
success_after_failure,pattern,success_after_recent_failure_burst,"Hunt-only correlation showing a later success from the same IP after clustered failures"
directory_role_assignment,role_name,Security Reader,"Directory role used for role assignment change validation"
directory_role_assignment,target_alias,lab06-role-target,"Target user alias used for role assignment validation"
directory_role_assignment,operation_name,Add member to role,"Observed in AuditLogs during initial role assignment and rule validation"
directory_role_assignment,operation_name,Remove member from role,"Observed in AuditLogs during controlled remove-then-re-add validation"
directory_role_assignment,correlation_id,0d045720-5523-4199-9c59-ac287f03fd0a,"Initial add event captured during Phase 3 validation"
directory_role_assignment,correlation_id,a4ff2034-f831-4d16-bd7a-69a101e4caa2,"Role removal event captured during rule validation"
directory_role_assignment,correlation_id,ee121612-1188-44c1-917b-c45925e932eb,"Role re-add event captured during rule validation"
sp_credential_addition,service_principal_display_name,lab06-sp-detection-test,"Dedicated lab service principal used for credential-addition testing"
sp_credential_addition,credential_display_name,lab06-temp-secret-01,"Initial temporary credential added for scenario generation"
sp_credential_addition,credential_display_name,lab06-temp-secret-02,"Second temporary credential added for rule validation"
sp_credential_addition,operation_name,Add service principal credentials,"Primary AuditLogs signal for service principal credential creation"
sp_credential_addition,operation_name,Update service principal,"Companion AuditLogs event generated during the same credential change"
sp_credential_addition,correlation_id,0914717a-bacf-4497-a253-b1f00795fbad,"Credential-addition validation event captured in AuditLogs"
